trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
44,0,44,0,105.57373139995616,,105.54299609991722,5,105.57373139995616,105.57373139995616,0.022437999956309795,108.25182439992204,[-0.40185185185185185],[-0.20462962962962963],[1],[0],[0],[2.687143399962224],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
45,0,45,0,108.28327349992469,,108.257155799889,5,108.28327349992469,108.28327349992469,0.019313600030727684,110.58548069989774,[-0.11574074074074074],[0.38333333333333336],[1],[0],[0],[2.3093149999622256],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
46,0,46,0,110.63272369990591,,110.58907979994547,10,110.63272369990591,110.63272369990591,0.03197570005431771,112.68468489998486,[0.4722222222222222],[0.24814814814814815],[1],[0],[0],[2.0635344000766054],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
47,0,47,0,112.7305840998888,,112.68867229996249,10,112.7305840998888,112.7305840998888,0.030924299964681268,114.4182571999263,[0.3074074074074074],[0.4564814814814815],[1],[0],[0],[1.6988933000247926],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
48,0,48,0,114.44651409995276,,114.42294889991172,5,114.44651409995276,114.44651409995276,0.017043299973011017,115.97025399992708,[-0.34814814814814815],[0.1361111111111111],[1],[0],[0],[1.5304992999881506],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
49,0,49,0,116.02201499999501,,115.97496609995142,10,116.02201499999501,116.02201499999501,0.03570250002667308,118.21887589991093,[-0.44537037037037036],[0.4064814814814815],[1],[0],[0],[2.208520599990152],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
50,0,50,0,118.27622459991835,,118.22532769991085,10,118.27622459991835,118.27622459991835,0.03808689990546554,120.4671349999262,[0.32407407407407407],[0.25833333333333336],[1],[0],[0],[2.204478400060907],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
51,0,51,0,120.51573619991541,,120.47165889991447,5,120.51573619991541,120.51573619991541,0.03504039999097586,122.10154479998164,[-0.43333333333333335],[0.16111111111111112],[1],[0],[0],[1.5954033000161871],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
52,0,52,0,122.1438305999618,,122.10517669992987,5,122.1438305999618,122.1438305999618,0.031197100062854588,124.06783119996544,[0.4101851851851852],[-0.31666666666666665],[1],[0],[0],[1.931611099978909],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
53,0,53,0,124.11450989998411,,124.07205159997102,10,124.11450989998411,124.11450989998411,0.03079659992363304,126.91775599995162,[-0.17592592592592593],[0.475],[1],[0],[0],[2.815140499966219],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
54,0,54,0,126.94629669992719,,126.92264989996329,5,126.94629669992719,126.94629669992719,0.016476500080898404,128.61974169989116,[0.13148148148148148],[-0.32407407407407407],[1],[0],[0],[1.6806338999886066],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
55,0,55,0,128.6511222999543,,128.62543319992255,5,128.6511222999543,128.6511222999543,0.018548800027929246,130.23663979989942,[-0.016666666666666666],[-0.1574074074074074],[1],[0],[0],[1.593101799953729],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
56,0,56,0,130.27217269991525,,130.2436942999484,5,130.27217269991525,130.27217269991525,0.020762000000104308,132.13664659997448,[0.3731481481481482],[0.14351851851851852],[1],[0],[0],[1.8728650999255478],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
57,0,57,0,132.16912399989087,,132.14392799988855,5,132.16912399989087,132.16912399989087,0.017916499986313283,134.05372279998846,[0.4444444444444444],[0.4009259259259259],[1],[0],[0],[1.8922539999475703],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
58,0,58,0,134.10353959992062,,134.06036449992098,10,134.10353959992062,134.10353959992062,0.03235640004277229,135.3178058998892,[0.3037037037037037],[0.3388888888888889],[1],[0],[0],[1.225904899998568],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
59,0,59,0,135.36710279993713,,135.32149579992983,10,135.36710279993713,135.36710279993713,0.03540839999914169,138.73674219998065,[0.15925925925925927],[-0.2101851851851852],[1],[0],[0],[3.3802685999544337],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
60,0,60,0,138.7695208999794,,138.74393459991552,5,138.7695208999794,138.7695208999794,0.018479099962860346,140.45296549994964,[0.3527777777777778],[0.29444444444444445],[1],[0],[0],[1.6914358999347314],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
61,0,61,0,140.48599580000155,,140.45782149990555,5,140.48599580000155,140.48599580000155,0.02207720000296831,141.8012662999099,[0.17962962962962964],[0.47129629629629627],[1],[0],[0],[1.3216866999864578],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
62,0,62,0,141.85241389996372,,141.8061355999671,10,141.85241389996372,141.85241389996372,0.03510640002787113,150.61905739991926,[-0.04537037037037037],[-0.24074074074074073],[1],[0],[0],[8.778217399958521],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
63,0,63,0,150.66490089998115,,150.6226139999926,10,150.66490089998115,150.66490089998115,0.030887700035236776,153.25093069998547,[-0.002777777777777778],[-0.3888888888888889],[1],[0],[0],[2.597680800012313],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
64,0,64,0,153.31010269990657,,153.25445169990417,10,153.31010269990657,153.31010269990657,0.04177489993162453,156.03521239990368,[-0.1527777777777778],[-0.1962962962962963],[1],[0],[0],[2.7393716000951827],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
65,0,65,0,156.06570959999226,,156.04051709990017,5,156.06570959999226,156.06570959999226,0.018294300069101155,158.70193539990578,[-0.3814814814814815],[0.487962962962963],[1],[0],[0],[2.6436099999118596],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
66,0,66,0,158.75296589999925,,158.7074389999034,10,158.75296589999925,158.75296589999925,0.03370479994919151,161.0861604999518,[0.18888888888888888],[0.4398148148148148],[1],[0],[0],[2.3452271000714973],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
67,0,67,0,161.13794699998107,,161.09180869988631,10,161.13794699998107,161.13794699998107,0.03509600006509572,163.01930909999646,[0.33796296296296297],[0.2074074074074074],[1],[0],[0],[1.8929992999183014],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
68,0,68,0,163.06750289991032,,163.02552689996082,10,163.06750289991032,163.06750289991032,0.03180440003052354,164.6532106999075,[-0.49074074074074076],[0.15462962962962962],[1],[0],[0],[1.5965564999496564],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
69,0,69,0,164.68265189998783,,164.6589629999362,5,164.68265189998783,164.68265189998783,0.017415200010873377,166.951302499976,[0.3537037037037037],[0.44907407407407407],[1],[0],[0],[2.275744099984877],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
70,0,70,0,167.02613249991555,,166.95558179996442,10,167.02613249991555,167.02613249991555,0.03991859999950975,170.18492519995198,[-0.027777777777777776],[-0.13518518518518519],[1],[0],[0],[3.1896574000129476],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
71,0,71,0,170.23334379994776,,170.19013479992282,10,170.23334379994776,170.23334379994776,0.03266020002774894,173.5852567999391,[-0.29444444444444445],[-0.4305555555555556],[1],[0],[0],[3.3626960000256076],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
72,0,72,0,173.63934859994333,,173.58967099990696,10,173.63934859994333,173.63934859994333,0.035541299963369966,175.93475419993047,[-0.04814814814814815],[-0.32592592592592595],[1],[0],[0],[2.3098529999842867],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
73,0,73,0,175.9795918999007,,175.938145199907,10,175.9795918999007,175.9795918999007,0.03054920001886785,177.3177228999557,[0.1537037037037037],[-0.17962962962962964],[1],[0],[0],[1.349197500036098],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
74,0,74,0,177.3693666999461,,177.32257099996787,10,177.3693666999461,177.3693666999461,0.035800699959509075,178.53417389991228,[-0.044444444444444446],[-0.06574074074074074],[1],[0],[0],[1.17650279996451],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
75,0,75,0,178.57711139996536,,178.5373644999927,10,178.57711139996536,178.57711139996536,0.028981200070120394,180.9851529999869,[-0.46944444444444444],[-0.19722222222222222],[1],[0],[0],[2.4185864999890327],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
76,0,76,0,181.02027719991747,,180.99208299990278,5,181.02027719991747,181.02027719991747,0.021694199997000396,182.952091599931,[0.04537037037037037],[0.09907407407407408],[1],[0],[0],[1.939615200040862],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
77,0,77,0,183.01362739992328,,182.95672579994425,10,183.01362739992328,183.01362739992328,0.03304379992187023,184.66806789999828,[0.4222222222222222],[0.27314814814814814],[1],[0],[0],[1.6781913000158966],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
78,0,78,0,184.72853719990235,,184.67428169993218,10,184.72853719990235,184.72853719990235,0.04125710006337613,186.38469049998093,[0.1259259259259259],[0.45555555555555555],[1],[0],[0],[1.6699424999533221],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
79,0,79,0,186.4332767999731,,186.38984429999255,10,186.4332767999731,186.4332767999731,0.03284649993292987,190.65130949998274,[0.03333333333333333],[0.05462962962962963],[1],[0],[0],[4.229114000103436],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
80,0,80,0,190.6965809999965,,190.65544229990337,10,190.6965809999965,190.6965809999965,0.030565100023522973,192.95130209997296,[0.09814814814814815],[0.4842592592592593],[1],[0],[0],[2.2654513999586925],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
