trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
60,0,60,0,168.48093510000035,,168.45366400002968,5,168.48093510000035,168.48093510000035,0.019849599921144545,170.2613858000841,[-0.20925925925925926],[0.2796296296296296],[1],[0],[0],[1.788533000042662],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
61,0,61,0,170.2891945000738,,170.26494420005474,5,170.2891945000738,170.2891945000738,0.016792899928987026,173.23061379999854,[-0.21666666666666667],[0.45092592592592595],[1],[0],[0],[2.948773100040853],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
62,0,62,0,173.26621730008628,,173.23642650002148,5,173.26621730008628,173.26621730008628,0.01871289999689907,175.46181500004604,[-0.12129629629629629],[-0.32037037037037036],[1],[0],[0],[2.207172300084494],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
63,0,63,0,175.49704530008603,,175.46807750000153,5,175.49704530008603,175.49704530008603,0.01806339994072914,177.57836550008506,[0.3296296296296296],[0.41388888888888886],[1],[0],[0],[2.0923096999758855],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
64,0,64,0,177.61149899999145,,177.5828258000547,5,177.61149899999145,177.61149899999145,0.018924799980595708,179.34588700009044,[0.2833333333333333],[-0.1537037037037037],[1],[0],[0],[1.7444455000804737],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
65,0,65,0,179.40492800006177,,179.35220540000591,10,179.40492800006177,179.40492800006177,0.038233499974012375,183.5618325000396,[-0.017592592592592594],[-0.06296296296296296],[1],[0],[0],[4.1721660000039265],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
66,0,66,0,183.5986922000302,,183.5673167000059,5,183.5986922000302,183.5986922000302,0.02077780000399798,185.04685500008054,[0.2759259259259259],[0.024074074074074074],[1],[0],[0],[1.4589249999262393],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
67,0,67,0,185.07942960003857,,185.05261160002556,5,185.07942960003857,185.07942960003857,0.01814980001654476,186.9643845000537,[-0.29259259259259257],[-0.15648148148148147],[1],[0],[0],[1.8938887000549585],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
68,0,68,0,187.0023511000909,,186.96923889999744,5,187.0023511000909,187.0023511000909,0.022793299984186888,188.6954182999907,[-0.44074074074074077],[0.26666666666666666],[1],[0],[0],[1.7034759999951348],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
69,0,69,0,188.73410170001443,,188.7001786000328,5,188.73410170001443,188.73410170001443,0.021814199979417026,190.8303278000094,[-0.3425925925925926],[-0.2898148148148148],[1],[0],[0],[2.1086410999996588],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
